"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2026-02-01","Ikea East Palo Alto Re",27.2,"pending","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-02-01","Megamart - East Palo Alto",5,"pending","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-02-01","Ikea East Palo Alto",400.74,"pending","Shops","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-02-01","Facebook - Freemont",320,"pending","Fitness","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-02-01","Megamart - East Palo Alto",58.76,"pending","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-02-01","Costco",130,"pending","Groceries","Needs",false,,"regular","Costco Anywhere Visa® Card by Citi","7178",,""
"2026-02-01","Anand Fun Money Deposit Cash_category",-9494,"posted","",,true,,"income","Individual Cash Account","2513",,""
"2026-01-31","Sp Memoried",420,"pending","Shops","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-31","Columbia Sportswear",24.16,"pending","Clothing","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-31","Palo Alto Children Theatr",198,"pending","Kids Activities","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-31","At *junior Museum & Zoo",42,"pending","Kids Activities","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-31","State Of Calif Dmv Int",2,"pending","Car","Fixed Costs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-31","Sp Memoried",417,"pending","Anchita Fun Money",,true,,"regular","Ultimate Rewards®","9835",,""
"2026-01-31","Ca Dmv Fee",0.04,"pending","Car","Fixed Costs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-31","Sp Bombas",3.76,"pending","Clothing","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-31","Dividend",-0.34,"posted","",,true,,"regular","Regular Checking","5918",,""
"2026-01-31","Interest Paid",-0.03,"posted","",,true,,"income","Online Savings","9721",,""
"2026-01-31","Sugar Bowl - Ski School",699,"pending","Kids Activities","Wants",false,,"regular","Platinum Card®","1008",,""
"2026-01-30","External Deposit: Meta",-426,"posted","",,true,,"income","Regular Checking","5918",,""
"2026-01-30","Direct Debit Comcast-xfinitcable Svcs (cash)",114,"posted","Utilities","Needs",false,,"regular","Cash Management (Joint Tenants in Common)","3880",,"Comcast"
"2026-01-30","Direct Deposit Meta Payroll (cash)",-3262.03,"posted","",,true,,"income","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-30","Walmart",-14.34,"posted","Shops","Wants",false,,"regular","Platinum Card®","1008",,""
"2026-01-29","Din Ding Dumpling House",107.37,"pending","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-29","Din Ding Dumpling House",6.53,"pending","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-29","Offer:tommy John",-18,"posted","",,true,,"internal transfer","Sapphire Reserve","8119",,""
"2026-01-29","Highland Hospital",14.43,"pending","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-29","Direct Deposit Alameda Healpr Payment (cash)",-5430.91,"posted","",,true,,"income","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-29","Snoo from Desmond Talkington",-350,"posted","Other","Wants",false,,"regular","Anand-Prasad-29",,,""
"2026-01-28","Highland Hospital",2.26,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-28","Tesla, Inc",15,"posted","Car","Fixed Costs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-28","Direct Deposit Connectyourcoptumclaim (cash)",-2499.9,"posted","",,true,,"income","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-28","Wmt Plus Jan",14.34,"posted","Shops","Wants",false,,"regular","Platinum Card®","1008",,""
"2026-01-28","Aplpay Richemont Incnew",9493.88,"posted","Anand Fun Money",,true,,"regular","Platinum Card®","1008",,""
"2026-01-27","Highland Hospital",13.2,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-27","Kindercare",549,"posted","Day Care and Preschools","Fixed Costs",false,,"regular","Ultimate Rewards®","9835",,"Kindercare"
"2026-01-27","Madras Groceries",110.78,"posted","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-27","Direct Debit Chase Credit Cautopay (cash)",8878.59,"posted","",,true,,"internal transfer","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-27","Direct Deposit Connectyourcoptumclaim (cash)",-25.89,"posted","",,true,,"income","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-27","Cleaning to Ingrid Revolorio",350,"posted","Home Maintenance","Needs",false,,"regular","Anchita-Venkatesh",,,""
"2026-01-27","Gardening🏠 to Juan Luis Banda De Leon",80,"posted","Home Maintenance","Needs",false,,"regular","Anand-Prasad-29",,,""
"2026-01-26","Highland Hospital",2.26,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-26","Sp Clipstic",36.5,"posted","Shops","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-26","Amazon Mktpl*5c46h5di3",99.99,"posted","Shops","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-26","Automatic Payment - Thank",-8878.59,"posted","",,true,,"internal transfer","Ultimate Rewards®","9835",,""
"2026-01-26","Oldnavy.com",16.6,"posted","Shops","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-26","Oldnavy.com",9.96,"posted","Shops","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-26","Direct Debit Chase Credit Cautopay (cash)",7486.73,"posted","",,true,,"internal transfer","Cash Management (Joint Tenants in Common)","3880",,""
"2026-01-25","Amc 0420 Sunnyvale",32.91,"posted","Entertainment","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-25","Willow Tv",79.99,"posted","Subscriptions","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-25","Cvs",14.83,"posted","Healthcare","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-24","Costco",226.39,"posted","Shops","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-24","Costco",200,"posted","Groceries","Needs",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-24","Sp Tommyjohn",212.64,"posted","Clothing","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-24","Amc 9640 Online",59.04,"posted","Entertainment","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-24","Connectyourcare Optumclaim",-2500,"posted","",,true,,"internal transfer","Total Checking","5670",,""
"2026-01-24","Movie tickets from Anu Venkatesh",-30,"posted","Entertainment","Wants",false,,"regular","Anchita-Venkatesh",,,""
"2026-01-23","Automatic Payment - Thank",-7486.73,"posted","",,true,,"internal transfer","Sapphire Reserve","8119",,""
"2026-01-23","North Beach Cantina",35.57,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-23","Waymo",10.95,"posted","Car","Fixed Costs",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-23","Tandoori Pizza Union City",65.18,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-23","Tcb*mta Meter Mta Mck",6.85,"posted","Car","Fixed Costs",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-23","Tcb*mta Meter Mta P",6.1,"posted","Car","Fixed Costs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-23","Oldnavy.com",39.36,"posted","Shops","Wants",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-23","Zelle Payment To Karina Laguna Jpm99c2ykn3j",420,"posted","Nanny","Wants",false,,"regular","Total Checking","5670",,""
"2026-01-22","Starbucks",6.45,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-22","Tcb*mta Meter Mta Mck",6.5,"posted","Car","Fixed Costs",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-22","Py *new Thai Elephant 2 F",36,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-22","Tcb*mta Meter Mta P",14.68,"posted","Car","Fixed Costs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-22","Help.hbomax.com",10.99,"posted","Subscriptions","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-22","Ugift529 Gift",50,"posted","Other","Wants",false,,"regular","Total Checking","5670",,""
"2026-01-21","Highland Hospital",2.26,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-21","Neiman Marcus",3082.77,"posted","Anchita Fun Money",,true,,"regular","Sapphire Reserve","8119",,""
"2026-01-21","Highland Hospital",3.64,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-21","Sprouts Farmers Mar",15.1,"posted","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-21","Direct Debit Pgande Online (cash)",92.64,"posted","Utilities","Needs",false,,"regular","Cash Management (Joint Tenants in Common)","3880",,"PG&E"
"2026-01-20","Kindercare",549,"posted","Day Care and Preschools","Fixed Costs",false,,"regular","Ultimate Rewards®","9835",,"Kindercare"
"2026-01-20","Casa Membership Casa Membe",199,"posted","Home Maintenance","Needs",false,,"regular","Total Checking","5670",,""
"2026-01-20","Costco",86.26,"posted","Groceries","Needs",false,,"regular","Costco Anywhere Visa® Card by Citi","7178",,""
"2026-01-19","Claude.ai Subscription",200,"posted","Subscriptions","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-18","Sprouts Farmers Mar",19.76,"posted","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-17","Eataly Silicon Valley",22.64,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-17","Kajiken",125.52,"posted","Restaurants","Wants",false,,"regular","Sapphire Reserve","8119",,""
"2026-01-17","Sprouts Farmers Mar",21.97,"posted","Groceries","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-17","Republic Services",346.49,"posted","Utilities","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-17","Cvs",27.67,"posted","Healthcare","Needs",false,,"regular","Ultimate Rewards®","9835",,""
"2026-01-17","Netflix",17.99,"posted","Subscriptions","Needs",false,,"regular","Ultimate Rewards®","9835",,"Netflix"
"2026-01-17","Csj Convnton Area Meters",15,"posted","Car","Fixed Costs",false,,"regular","Ultimate Rewards®","9835",,""
